material_code,component_code,driver_key,relationship_strength,elasticity
MAT-001,CER,rare_earth_index,0.87,0.9
MAT-001,CER,fx_index,0.3,0.3
MAT-001,H2O2,energy_price_index,0.5,0.4
MAT-001,H2O2,chemical_feedstock_index,0.4,0.35
MAT-001,DISP,chemical_feedstock_index,0.6,0.5
MAT-001,DISP,energy_price_index,0.3,0.25
MAT-001,DIW,freight_index,0.25,0.2
MAT-001,DIW,fx_index,0.15,0.15
MAT-002,H2O2P,energy_price_index,0.65,0.55
MAT-002,H2O2P,chemical_feedstock_index,0.45,0.4
MAT-002,STAB,chemical_feedstock_index,0.3,0.25
MAT-002,H2O2P,freight_index,0.2,0.15
MAT-003,RESIN,specialty_polymer_feedstock_index,0.75,0.7
MAT-003,PAG,chemical_feedstock_index,0.4,0.35
MAT-003,SOLV,energy_price_index,0.3,0.2
MAT-004,CU,copper_lme_index,0.9,0.95
MAT-004,CU,fx_index,0.25,0.2
MAT-004,FAB,energy_price_index,0.35,0.3
MAT-004,FAB,freight_index,0.2,0.15
